Airport Codes,Hours,Minutes,Price
ATL,9,40,636
BKK,25,0,700
BOS,11,10,656
CAN,9,19,400
DTW,9,30,629
GUM,12,13,1350
ICN,8,35,744
IND,11,15,570
KHH,28,45,1300
KIX,7,46,600
KOA,0,45,130
LAX,5,35,309
LGA,14,0,507
MCO,11,50,671
MKE,11,5,570
MNL,13,20,898
MSN,10,9,694
MSP,8,30,627
NRT,7,14,467
OGG,0,40,130
PDX,5,55,428
PEK,12,15,801
PHL,12,15,648
PHX,6,30,511
PVG,11,45,761
SBN,16,34,713
SEA,6,17,327
SEL,8,30,660
SFO,5,15,387
SYD,9,40,615
TPE,9,20,890
LAS,6,15,439
LIH,0,45,130
MDW,13,50,793
OAK,5,25,387
ONT,6,0,249
SJC,5,30,387
SMF,5,40,393
YVR,6,20,465
YYC,10,10,608
YYZ,12,0,562
MEL,10,5,485
YEG,9,50,636
HND,8,12,538
HRT,9,56,748
OSA,7,46,654
AKJ,11,50,655
AOJ,5,30,393
AXT,9,30,649
CTS,12,10,653
FKS,17,30,1000
FSZ,13,25,1900
FUK,12,40,810
HIJ,12,30,700
HKD,13,5,900
HNA,16,45,825
IWA,16,40,800
IZO,11,50,824
KCZ,12,50,817
KIJ,14,20,825
KKJ,12,25,819
KMI,12,55,817
KMJ,19,0,820
KMQ,18,55,643
KOJ,16,15,817
KUH,19,30,785
MMB,13,10,824
MSJ,19,35,698
MYJ,12,25,649
NGO,15,45,653
NGS,14,0,817
OBO,13,35,817
OIT,13,50,817
OKA,16,45,649
OKJ,11,45,817
SDJ,11,30,875
TAK,11,55,817
TKS,12,10,817
TOY,11,45,712
UBJ,12,15,817
SCL,23,19,1262
FRA,18,12,696
MUC,19,3,878
APW,6,45,752
AKL,12,10,573
NAN,8,30,683
MSE,17,30,434
ANC,6,20,395
BOI,10,50,378
BUR,7,55,308
CXI,3,5,613
ELP,9,15,561
FAT,8,42,420
GEG,9,35,450
ITO,0,54,140
KWA,6,35,922
LNY,0,50,198
LWS,11,59,625
MAJ,4,45,1089
MDY,15,10,440
MEM,16,6,814
MSY,12,4,525
OGD,9,28,415
OKC,11,43,530
PPG,6,15,945
RAR,6,15,1603
RNO,16,35,472
SAN,6,15,342
SNA,8,0,308
TPA,12,53,551
YXX,27,8,722
BNE,17,35,892
JFK,15,37,603
LGB,5,50,378
MKK,2,10,158
PPT,27,39,1169
TUS,10,28,500
CLE,12,53,625
DEN,10,29,622
EWR,26,0,592
IAH,18,44,706
KSA,8,30,1661
PNI,9,25,1691
TKK,12,5,1566
BHM,15,51,690
CVG,17,33,626
DFW,7,55,777
DPS,27,0,858
FLL,17,48,496
HKG,15,5,817
MIA,18,7,635
NZY,14,55,685
PBI,29,0,689
PUS,18,55,344
SIN,30,0,807
SLC,15,52,429
IWK,11,55,649
CLT,13,27,711
DCA,13,3,620
LHR,23,35,1311
ORD,27,0,591
SJU,25,0,1035
STL,14,50,596
ADL,16,15,973
